Name,Category,TimeRare,TimeMedium,TimeWellDone,CueRare,CueMedium,CueWellDone,RiskNote,ServingTip,Technique,Overtime,Midpoint
"🥩 毛肚","肉类","10","15","25","叶片微卷、根须变挺","七上八下后叶片舒展硬挺、表面挂汁","叶片卷紧发硬","表面短时加热，中心未充分烫透者慎食","七上八下，口感脆",七上八下，抖散快烫,hard,
"🦆 鹅肠","肉类","10","15","25","肠身微弯、颜色转粉白","卷曲变脆、颜色粉白","卷紧发硬、明显缩水","短时涮烫中心可能未全熟","卷曲变脆即可",筷子夹住上下提涮数次,hard,
"🥩 吊龙","肉类","10","15","25","表面变粉、中心带血丝","完全变色无血色","颜色变深、开始发柴","偏生为中心带血丝的生熟状态","（牛里脊）变色即可，勿久煮",大火沸汤微涮,hard,
"🐑 羊肉卷","肉类","20","30","45","大部分变色、缝隙微带粉","卷曲变色、无血色","肉色深、边缘发硬","薄卷回沸慢时中心可能带粉","卷曲变色无血色",肉片泛白散开、脆骨发硬,hard,
"🥩 牛肉卷","肉类","20","30","45","变色八九成、留一丝粉","完全变色无血色","颜色发深、口感变柴","薄卷回沸慢时中心可能带粉","变色即熟，不宜久煮",沸腾处展开快涮,hard,
"👅 牛舌","肉类","20","30","45","遇热微缩、色泽未褪","微缩打卷、色泽变灰","卷紧发硬","极薄快涮，久煮发韧","极薄快涮，遇热微缩打卷即熟",极薄快涮、遇热微缩打卷,hard,
"🥩 牛腩片","肉类","35","45","60","变色大半、纹理微粉","肉质变紧、颜色均匀","明显收缩、口感发柴","","肉质变紧，颜色均匀",肉质变紧、颜色均匀,hard,
"💪 牛腱肉","肉类","35","45","60","表面变色、断面微粉","纹理清晰、断面同色","紧实难嚼","","纹理清晰，略带嚼劲",纹理清晰、略带嚼劲,hard,
"🐑 鲜切羊肉","肉类","35","45","60","表面变色、贴骨处微粉","肉片变色、无血水","收缩发硬","鲜切比肉卷厚，偏生需确认无血水","肉片变色，无血水",肉片变色、无血水,hard,
"🫀 黄喉","肉类","35","45","60","开始变白","变白脆弹、边缘微卷","卷硬咬不动","","变白脆弹",煮至管体向内打卷,hard,
"🥩 鲜切牛肉","肉类","35","45","60","表面变色、中心微红","血色褪去、肉质变紧","发柴塞牙","偏生为中心微红的生熟状态","血色褪去肉质紧",血色褪去、肉质变紧,hard,
"🥓 腊肉","肉类","150","180","240","热透、肥边变透明","吸味、肥边晶莹","更咸更韧","多为熟制品，生腊肉需煮更久","（若已蒸熟）烫热即可，（生）则需更久",烫热即可、肥边变透明,hard,
"🦴 牛筋","肉类","150","180","240","变软有弹性","软糯带弹","软烂粘牙","","变软糯，有弹性",煮至半透明琥珀色、软糯拉丝,hard,
"🍖 酥肉","肉类","150","180","240","外皮微软","吸饱汤汁、外皮略软","完全软烂","多为炸熟制品","（若已炸熟）吸饱汤汁，外皮略软",吸饱汤汁、外皮略软,hard,
"🦆 鸭胗","肉类","150","180","240","切花初展开","切花舒展、口感脆","变硬发韧","内脏类，偏生未充分加热","切花舒展，口感脆",十字花刀翻卷绽开,hard,
"🐔 鸡胗","肉类","60","90","120","切花初展开","切花舒展、口感爽脆","变硬发韧","内脏类，偏生未充分加热","切花舒展，口感爽脆",薄切片受热打卷发硬,hard,
"🥚 鹌鹑蛋","肉类","120","180","240","热透","蛋黄凝固","蛋白发韧","熟蛋烫热即可；生蛋需更久","（熟）烫热即可，（生）蛋黄凝固",熟蛋入锅透热即可,hard,
"🐖 肥肠","肉类","180","240","300","热透、开始入味","烫热入味","更软更入味","多为卤熟制品","（若已卤熟）烫热入味",煮至肠壁软糯出油,hard,
"🌶️ 双椒牛肉","肉类","150","180","240","辣椒鲜亮、肉已变色","辣椒颜色鲜亮不脱落、肉全熟","辣椒软烂","裹浆较厚，中心需时更久","辣椒颜色鲜亮不脱落",全熟变色即可捞起,hard,
"📚 牛百叶","肉类","60","90","120","叶片开始挺立","叶片挺立、口感爽脆","卷硬发韧","","叶片挺立，口感爽脆",叶片舒展、稍有卷翘发紧,hard,
"📚 千层肚","肉类","60","90","120","丝条微挺","叶片舒展变硬挺","卷紧发硬","表面短时加热，中心未充分烫透者慎食","叶片舒展变硬挺",百叶丝叶片舒展、稍有卷翘,hard,
"🦪 生蚝","海鲜类","45","60","90","边缘微卷、汁液转白","边缘卷曲明显、汁液变白","收缩变硬","贝类，偏生有副溶血性弧菌风险","蚝肉边缘卷曲，汁液变白",蚝肉边缘卷曲、汁液变白,hard,0.5
"🦐 虾","海鲜类","45","60","90","虾身开始变红弯曲","虾身弯曲成C形、通体变红","卷成O形、肉质发紧","甲壳类，偏生有副溶血性弧菌风险","（鲜虾）虾身弯曲变红",虾身弯曲成C形即捞,hard,0.5
"🦀 蟹","海鲜类","180","240","300","壳转橙红","蟹壳变红、肉质紧实","肉老离壳","蟹类务必煮透（肺吸虫/菌）","（小/切块）蟹壳变红，肉质紧实",蟹壳变红、肉质紧实,hard,0.5
"🐚 扇贝","海鲜类","180","240","300","贝肉变白","贝肉变白、裙边卷曲","缩小变硬","贝类，偏生有副溶血性弧菌风险","贝肉变白，裙边卷曲",贝肉变白、裙边卷曲,hard,0.5
"🐚 鲍鱼","海鲜类","180","240","300","肉质收缩变弹","边缘卷起、肉质紧弹","橡皮口感","贝类，偏生有副溶血性弧菌风险","（小/切片）肉质收缩变弹",肉质收缩变弹,hard,0.5
"🐟 鱼肚","海鲜类","180","240","300","变软","软糯吸汁","更软烂","","（鱼泡/鱼鳔）泡发后煮至软糯",泡发后煮至软糯,hard,0.5
"🐚 花蛤","海鲜类","180","240","300","大部分开口","贝壳完全张开","肉缩小变硬","未开口的个别丢弃；贝类偏生有风险","贝壳完全张开",贝壳完全张开,hard,0.5
"🦑 鱿鱼","海鲜类","60","90","120","开始变半透明","变半透明、微皱、有弹性","明显收缩发硬","头足类，未熟透易致消化不良","变半透明、微皱、有弹性即熟",刀口深卷成麦穗形,hard,0.5
"🐍 鳝段","海鲜类","240","300","360","肉质收缩、贴骨处微红","肉质收缩无血丝、变紧实","肉离骨发硬","鳝鱼务必全熟（类组胺/寄生虫）","肉质收缩无血丝，变紧实",中火煮透至血色褪净,hard,0.5
"🐸 牛蛙","海鲜类","300","360","420","肉变白、贴骨处微红","肉质变白、紧贴骨头","肉离骨发柴","蛙类务必全熟（裂头蚴风险）","（腿/块）肉质变白，紧贴骨头",中大火彻底煮透,hard,0.5
